Title,Year,IMDB_rating,MPA_rating,Duration,Category,Director
Requiem for a Dream,2000,8.3,Unrated,1h 42m,Drama,Darren Aronofsky
Singin' in the Rain,1952,8.3,G,1h 43m,Comedy,Stanley Donen
3 Idiots,2009,8.4,PG-13,2h 50m,Comedy,Rajkumar Hirani
Star Wars: Episode VI - Return of the Jedi,1983,8.3,PG,2h 11m,Action,Richard Marquand
High and Low,1963,8.4,Not Rated,2h 23m,Crime,Akira Kurosawa
2001: A Space Odyssey,1968,8.3,G,2h 29m,Adventure,Stanley Kubrick
Eternal Sunshine of the Spotless Mind,2004,8.3,R,1h 48m,Drama,Michel Gondry
Reservoir Dogs,1992,8.3,R,1h 39m,Crime,Quentin Tarantino
Capernaum,2018,8.4,R,2h 6m,Drama,Nadine Labaki
Citizen Kane,1941,8.3,PG,1h 59m,Drama,Orson Welles
Lawrence of Arabia,1962,8.3,Approved,3h 38m,Adventure,David Lean
The Hunt,2012,8.3,R,1h 55m,Drama,Thomas Vinterberg
M,1931,8.3,Passed,1h 39m,Crime,Fritz Lang
North by Northwest,1959,8.3,Approved,2h 16m,Action,Alfred Hitchcock
Vertigo,1958,8.3,PG,2h 8m,Mystery,Alfred Hitchcock
Come and See,1985,8.4,Not Rated,2h 22m,Drama,Elem Klimov
Amélie,2001,8.3,R,2h 2m,Comedy,Jean-Pierre Jeunet
A Clockwork Orange,1971,8.3,X,2h 16m,Crime,Stanley Kubrick
Full Metal Jacket,1987,8.3,R,1h 56m,Drama,Stanley Kubrick
Double Indemnity,1944,8.3,Passed,1h 47m,Crime,Billy Wilder
The Apartment,1960,8.3,Approved,2h 5m,Comedy,Billy Wilder
Scarface,1983,8.3,R,2h 50m,Crime,Brian De Palma
Ikiru,1952,8.3,Not Rated,2h 23m,Drama,Akira Kurosawa
The Sting,1973,8.3,PG,2h 9m,Comedy,George Roy Hill
To Kill a Mockingbird,1962,8.3,Approved,2h 9m,Crime,Robert Mulligan
Taxi Driver,1976,8.2,R,1h 54m,Crime,Martin Scorsese
Up,2009,8.3,PG,1h 36m,Animation,Pete Docter
Heat,1995,8.3,R,2h 50m,Action,Michael Mann
L.A. Confidential,1997,8.2,R,2h 18m,Crime,Curtis Hanson
